ons_id,constituency_name,region_name,constituency_type,first_party,second_party,electorate,valid_votes,majority,con,lab,ld,brexit,green,snp,pc,dup,sf,sdlp,uup,alliance,other,other_winner
W07000049,Aberavon,Wales,County,Lab,Con,50750,31598,10490,6518,17008,1072,3108,450,0,2711,0,0,0,0,0,731,0
W07000058,Aberconwy,Wales,County,Con,Lab,44699,31865,2034,14687,12653,1821,0,0,0,2704,0,0,0,0,0,0,0
S14000001,Aberdeen North,Scotland,Borough,SNP,Con,62489,37413,12670,7535,4939,2846,1008,880,20205,0,0,0,0,0,0,0,0
S14000002,Aberdeen South,Scotland,Borough,SNP,Con,65719,45638,3990,16398,3834,5018,0,0,20388,0,0,0,0,0,0,0,0
S14000003,Airdrie and Shotts,Scotland,County,SNP,Lab,64011,39772,5201,7011,12728,1419,0,685,17929,0,0,0,0,0,0,0,0
E14000530,Aldershot,South East,Borough,Con,Lab,72617,47932,16698,27980,11282,6920,0,1750,0,0,0,0,0,0,0,0,0
E14000531,Aldridge-Brownhills,West Midlands,Borough,Con,Lab,60138,39342,19836,27850,8014,2371,0,771,0,0,0,0,0,0,0,336,0
E14000532,Altrincham and Sale West,North West,Borough,Con,Lab,73107,54763,6139,26311,20172,6036,0,1566,0,0,0,0,0,0,0,678,0
W07000043,Alyn and Deeside,Wales,County,Lab,Con,62789,43008,213,18058,18271,2548,2678,0,0,1453,0,0,0,0,0,0,0
E14000533,Amber Valley,East Midlands,County,Con,Lab,69976,45567,16886,29096,12210,2873,0,1388,0,0,0,0,0,0,0,0,0
S14000004,Angus,Scotland,County,SNP,Con,63952,43170,3795,17421,2051,2482,0,0,21216,0,0,0,0,0,0,0,0
W07000057,Arfon,Wales,County,PC,Lab,42215,29074,2781,4428,10353,0,1159,0,0,13134,0,0,0,0,0,0,0
S14000005,Argyll and Bute,Scotland,County,SNP,Con,66525,48050,4110,16930,3248,6832,0,0,21040,0,0,0,0,0,0,0,0
E14000534,Arundel and South Downs,South East,County,Con,LD,81726,61408,22521,35566,9722,13045,0,2519,0,0,0,0,0,0,0,556,0
E14000535,Ashfield,East Midlands,County,Con,Ashfield Independents,78204,48980,5733,19231,11971,1105,2501,674,0,0,0,0,0,0,0,13498,0
E14000536,Ashford,South East,County,Con,Lab,89553,60059,24029,37270,13241,6048,0,2638,0,0,0,0,0,0,0,862,0
E14000537,Ashton-Under-Lyne,North West,Borough,Lab,Con,67978,38579,4263,14281,18544,1395,3151,1208,0,0,0,0,0,0,0,0,0
E14000538,Aylesbury,South East,County,Con,Lab,86665,60576,17373,32737,15364,10081,0,2394,0,0,0,0,0,0,0,0,0
S14000006,"Ayr, Carrick and Cumnock",Scotland,County,SNP,Con,71970,46592,2329,17943,6219,2158,0,0,20272,0,0,0,0,0,0,0,0
E14000539,Banbury,South East,County,Con,Lab,90116,62921,16813,34148,17335,8831,0,2607,0,0,0,0,0,0,0,0,0
S14000007,Banff and Buchan,Scotland,County,Con,SNP,66655,42260,4118,21182,1734,2280,0,0,17064,0,0,0,0,0,0,0,0
E14000540,Barking,London,Borough,Lab,Con,77953,44499,15427,11792,27219,1482,3186,820,0,0,0,0,0,0,0,0,0
E14000541,Barnsley Central,Yorkshire and The Humber,Borough,Lab,Brexit,65277,36903,3571,7892,14804,1176,11233,900,0,0,0,0,0,0,0,898,0
E14000542,Barnsley East,Yorkshire and The Humber,County,Lab,Brexit,69504,38070,3217,10377,14329,1330,11112,922,0,0,0,0,0,0,0,0,0
E14000543,Barrow and Furness,North West,County,Con,Lab,70158,46046,5789,23876,18087,2025,1355,703,0,0,0,0,0,0,0,0,0
E14000544,Basildon and Billericay,East,Borough,Con,Lab,69906,44128,20412,29590,9178,3741,0,1395,0,0,0,0,0,0,0,224,0
E14000545,Basingstoke,South East,Borough,Con,Lab,82928,54713,14198,29593,15395,6841,0,2138,0,0,0,0,0,0,0,746,0
E14000546,Bassetlaw,East Midlands,County,Con,Lab,80024,50841,14013,28078,14065,3332,5366,0,0,0,0,0,0,0,0,0,0
E14000547,Bath,South West,Borough,LD,Con,67805,52138,12322,16097,6639,28419,642,0,0,0,0,0,0,0,0,341,0
E14000548,Batley and Spen,Yorkshire and The Humber,Borough,Lab,Con,79558,52927,3525,19069,22594,2462,1678,692,0,0,0,0,0,0,0,6432,0
E14000549,Battersea,London,Borough,Lab,Con,79350,59977,5668,21622,27290,9150,386,1529,0,0,0,0,0,0,0,0,0
E14000550,Beaconsfield,South East,County,Con,Ind,77720,57868,15712,32477,5756,0,0,2033,0,0,0,0,0,0,0,17602,0
E14000551,Beckenham,London,Borough,Con,Lab,68662,50555,14258,27282,13024,8194,0,2055,0,0,0,0,0,0,0,0,0
E14000552,Bedford,East,Borough,Lab,Con,71581,47301,145,20346,20491,4608,896,960,0,0,0,0,0,0,0,0,0
N06000001,Belfast East,Northern Ireland,Borough,DUP,Alliance,66245,42445,1819,0,0,0,0,0,0,0,20874,0,0,2516,19055,0,0
N06000002,Belfast North,Northern Ireland,Borough,SF,DUP,72225,49037,1943,0,0,0,0,0,0,0,21135,23078,0,0,4824,0,0
N06000003,Belfast South,Northern Ireland,Borough,SDLP,DUP,69984,47352,15401,0,0,0,0,0,0,0,11678,0,27079,1259,6786,550,0
N06000004,Belfast West,Northern Ireland,Borough,SF,PBPA,65644,38782,14672,0,0,0,0,0,0,0,5220,20866,2985,0,1882,7829,0
E14000553,Bermondsey and Old Southwark,London,Borough,Lab,LD,93248,58615,16126,9678,31723,15597,1617,0,0,0,0,0,0,0,0,0,0
S14000008,"Berwickshire, Roxburgh and Selkirk",Scotland,County,Con,SNP,74518,53146,5148,25747,2513,4287,0,0,20599,0,0,0,0,0,0,0,0
E14000554,Berwick-Upon-Tweed,North East,County,Con,Lab,59939,42109,14835,23947,9112,7656,0,1394,0,0,0,0,0,0,0,0,0
E14000555,Bethnal Green and Bow,London,Borough,Lab,Con,88262,60562,37524,6528,44052,5892,1081,2570,0,0,0,0,0,0,0,439,0
E14000556,Beverley and Holderness,Yorkshire and The Humber,County,Con,Lab,79696,53542,20448,33250,12802,4671,0,1378,0,0,0,0,0,0,0,1441,0
E14000557,Bexhill and Battle,South East,County,Con,Lab,81963,59093,26059,37590,11531,7280,0,2692,0,0,0,0,0,0,0,0,0
E14000558,Bexleyheath and Crayford,London,Borough,Con,Lab,65466,43246,13103,25856,12753,2819,0,1298,0,0,0,0,0,0,0,520,0
E14000559,Birkenhead,North West,Borough,Lab,Birkenhead Social Justice Party,63762,42329,17705,5540,24990,1620,1489,1405,0,0,0,0,0,0,0,7285,0
E14000560,"Birmingham, Edgbaston",West Midlands,Borough,Lab,Con,68828,42328,5614,15603,21217,3349,1047,1112,0,0,0,0,0,0,0,0,0
E14000561,"Birmingham, Erdington",West Midlands,Borough,Lab,Con,66148,35229,3601,14119,17720,1301,1441,648,0,0,0,0,0,0,0,0,0
E14000562,"Birmingham, Hall Green",West Midlands,Borough,Lab,Con,80283,52911,28508,7381,35889,3673,877,818,0,0,0,0,0,0,0,4273,0
E14000563,"Birmingham, Hodge Hill",West Midlands,Borough,Lab,Con,78295,45003,28655,6742,35397,760,1519,328,0,0,0,0,0,0,0,257,0
E14000564,"Birmingham, Ladywood",West Midlands,Borough,Lab,Con,74912,42118,28582,4773,33355,2228,831,931,0,0,0,0,0,0,0,0,0
E14000565,"Birmingham, Northfield",West Midlands,Borough,Con,Lab,73694,43098,1640,19957,18317,1961,1655,954,0,0,0,0,0,0,0,254,0
E14000566,"Birmingham, Perry Barr",West Midlands,Borough,Lab,Con,72006,42147,15317,11277,26594,1901,1382,845,0,0,0,0,0,0,0,148,0
E14000567,"Birmingham, Selly Oak",West Midlands,Borough,Lab,Con,82665,49467,12414,15300,27714,3169,1436,1848,0,0,0,0,0,0,0,0,0
E14000568,"Birmingham, Yardley",West Midlands,Borough,Lab,Con,74704,42678,10659,12720,23379,3754,2246,579,0,0,0,0,0,0,0,0,0
E14000569,Bishop Auckland,North East,County,Con,Lab,68170,44805,7962,24067,16105,2133,2500,0,0,0,0,0,0,0,0,0,0
E14000570,Blackburn,North West,Borough,Lab,Con,71234,44736,18304,10736,29040,1130,2770,741,0,0,0,0,0,0,0,319,0
E14000571,Blackley and Broughton,North West,Borough,Lab,Con,73372,38618,14402,9485,23887,1590,2736,920,0,0,0,0,0,0,0,0,0
E14000572,Blackpool North and Cleveleys,North West,Borough,Con,Lab,63692,38804,8596,22364,13768,1494,0,735,0,0,0,0,0,0,0,443,0
E14000573,Blackpool South,North West,Borough,Con,Lab,57690,32752,3690,16247,12557,1008,2009,563,0,0,0,0,0,0,0,368,0
W07000072,Blaenau Gwent,Wales,County,Lab,Brexit,50739,30219,8647,5749,14862,1285,6215,386,0,1722,0,0,0,0,0,0,0
E14000574,Blaydon,North East,Borough,Lab,Con,67853,45681,5531,14263,19794,3703,5833,1279,0,0,0,0,0,0,0,809,0
E14000575,Blyth Valley,North East,Borough,Con,Lab,64429,40859,712,17440,16728,2151,3394,1146,0,0,0,0,0,0,0,0,0
E14000576,Bognor Regis and Littlehampton,South East,County,Con,Lab,77446,51223,22503,32521,10018,5645,0,1826,0,0,0,0,0,0,0,1213,0
E14000577,Bolsover,East Midlands,County,Con,Lab,75161,45938,5299,21791,16492,1759,4151,758,0,0,0,0,0,0,0,987,0
E14000578,Bolton North East,North West,Borough,Con,Lab,67564,43556,378,19759,19381,1847,1880,689,0,0,0,0,0,0,0,0,0
E14000579,Bolton South East,North West,Borough,Lab,Con,69163,40604,7598,13918,21516,1411,2968,791,0,0,0,0,0,0,0,0,0
E14000580,Bolton West,North West,County,Con,Lab,73191,49298,8855,27255,18400,2704,0,939,0,0,0,0,0,0,0,0,0
E14000581,Bootle,North West,Borough,Lab,Con,74832,49174,34556,4510,39066,1822,2610,1166,0,0,0,0,0,0,0,0,0
E14000582,Boston and Skegness,East Midlands,County,Con,Lab,69381,41696,25621,31963,6342,1963,0,0,0,0,0,0,0,0,0,1428,0
E14000583,Bosworth,East Midlands,County,Con,Lab,81542,56432,26278,36056,9778,9096,0,1502,0,0,0,0,0,0,0,0,0
E14000584,Bournemouth East,South West,Borough,Con,Lab,74125,49274,8806,24926,16120,5418,0,2049,0,0,0,0,0,0,0,761,0
E14000585,Bournemouth West,South West,Borough,Con,Lab,74205,45977,10150,24550,14400,4931,0,2096,0,0,0,0,0,0,0,0,0
E14000586,Bracknell,South East,County,Con,Lab,78978,54350,19829,31894,12065,7749,0,2089,0,0,0,0,0,0,0,553,0
E14000587,Bradford East,Yorkshire and The Humber,Borough,Lab,Con,73206,44184,18144,9681,27825,3316,2700,662,0,0,0,0,0,0,0,0,0
E14000588,Bradford South,Yorkshire and The Humber,Borough,Lab,Con,69046,39741,2346,16044,18390,1505,2819,983,0,0,0,0,0,0,0,0,0
E14000589,Bradford West,Yorkshire and The Humber,Borough,Lab,Con,70694,44261,27019,6717,33736,1349,1556,813,0,0,0,0,0,0,0,90,0
E14000590,Braintree,East,County,Con,Lab,75208,50499,24673,34112,9439,4779,0,0,0,0,0,0,0,0,0,2169,0
W07000068,Brecon and Radnorshire,Wales,County,Con,LD,55490,41319,7131,21958,3944,14827,0,0,0,0,0,0,0,0,0,590,0
E14000591,Brent Central,London,Borough,Lab,Con,84032,49132,20870,10909,31779,4844,0,1600,0,0,0,0,0,0,0,0,0
E14000593,Brentford and Isleworth,London,Borough,Lab,Con,85775,58326,10514,18752,29266,7314,1165,1829,0,0,0,0,0,0,0,0,0
E14000592,Brent North,London,Borough,Lab,Con,83788,51879,8079,18832,26911,4065,951,850,0,0,0,0,0,0,0,270,0
E14000594,Brentwood and Ongar,East,County,Con,Lab,75255,52949,29065,36308,7243,7187,0,1679,0,0,0,0,0,0,0,532,0
W07000073,Bridgend,Wales,County,Con,Lab,63303,42236,1157,18193,17036,2368,1811,815,0,2013,0,0,0,0,0,0,0
E14000595,Bridgwater and West Somerset,South West,County,Con,Lab,85327,57652,24439,35827,11388,7805,0,1877,0,0,0,0,0,0,0,755,0
E14000596,Brigg and Goole,Yorkshire and The Humber,County,Con,Lab,65939,43402,21941,30941,9000,2180,0,1281,0,0,0,0,0,0,0,0,0
E14000597,"Brighton, Kemptown",South East,Borough,Lab,Con,69833,48533,8061,16972,25033,2964,1327,2237,0,0,0,0,0,0,0,0,0
E14000598,"Brighton, Pavilion",South East,Borough,Green,Lab,79057,57998,19940,10176,13211,0,770,33151,0,0,0,0,0,0,0,690,0
E14000599,Bristol East,South West,Borough,Lab,Con,73867,52154,10794,16923,27717,3527,1881,2106,0,0,0,0,0,0,0,0,0
E14000600,Bristol North West,South West,Borough,Lab,Con,76273,55885,5692,21638,27330,4940,0,1977,0,0,0,0,0,0,0,0,0
E14000601,Bristol South,South West,Borough,Lab,Con,84079,55196,9859,18036,27895,4227,2325,2713,0,0,0,0,0,0,0,0,0
E14000602,Bristol West,South West,Borough,Lab,Green,99253,75528,28219,8822,47028,0,869,18809,0,0,0,0,0,0,0,0,0
E14000603,Broadland,East,County,Con,Lab,78151,56977,21861,33934,12073,9195,0,1412,0,0,0,0,0,0,0,363,0
E14000604,Bromley and Chislehurst,London,Borough,Con,Lab,66697,45566,10891,23958,13067,6621,0,1546,0,0,0,0,0,0,0,374,0
E14000605,Bromsgrove,West Midlands,County,Con,Lab,75078,54272,23106,34408,11302,6779,0,1783,0,0,0,0,0,0,0,0,0
E14000606,Broxbourne,East,Borough,Con,Lab,73182,46706,19807,30631,10824,3970,0,1281,0,0,0,0,0,0,0,0,0
E14000607,Broxtowe,East Midlands,County,Con,Lab,73052,55272,5331,26602,21271,0,0,1806,0,0,0,0,0,0,0,5593,0
E14000608,Buckingham,South East,County,Con,LD,83146,63458,20411,37035,7638,16624,1286,0,0,0,0,0,0,0,0,875,0
E14000609,Burnley,North West,Borough,Con,Lab,64345,38984,1352,15720,14368,3501,3362,739,0,0,0,0,0,0,0,1294,0
E14000610,Burton,West Midlands,County,Con,Lab,75036,48738,14496,29560,15064,2681,0,1433,0,0,0,0,0,0,0,0,0
E14000611,Bury North,North West,Borough,Con,Lab,68802,46841,105,21660,21555,1584,1240,802,0,0,0,0,0,0,0,0,0
E14000612,Bury South,North West,Borough,Con,Lab,75152,50274,402,22034,21632,2315,1672,848,0,0,0,0,0,0,0,1773,0
E14000613,Bury St Edmunds,East,County,Con,Lab,89644,61957,24988,37770,12782,0,0,9711,0,0,0,0,0,0,0,1694,0
W07000076,Caerphilly,Wales,County,Lab,Con,63166,40117,6833,11185,18018,0,4490,0,0,6424,0,0,0,0,0,0,0
S14000009,"Caithness, Sutherland and Easter Ross",Scotland,County,LD,SNP,46930,31457,204,5176,1936,11705,1139,0,11501,0,0,0,0,0,0,0,0
E14000614,Calder Valley,Yorkshire and The Humber,County,Con,Lab,79287,57793,5774,29981,24207,2884,0,0,0,0,0,0,0,0,0,721,0
E14000615,Camberwell and Peckham,London,Borough,Lab,Con,88971,56492,33780,6478,40258,5087,1041,3501,0,0,0,0,0,0,0,127,0
E14000616,Camborne and Redruth,South West,County,Con,Lab,70250,50367,8700,26764,18064,3504,0,1359,0,0,0,0,0,0,0,676,0
E14000617,Cambridge,East,Borough,Lab,LD,79951,53729,9639,8342,25776,16137,1041,2164,0,0,0,0,0,0,0,269,0
E14000618,Cannock Chase,West Midlands,County,Con,Lab,74813,46313,19879,31636,11757,0,0,2920,0,0,0,0,0,0,0,0,0
E14000619,Canterbury,South East,County,Lab,Con,80203,60113,1836,27182,29018,3408,0,0,0,0,0,0,0,0,0,505,0
W07000050,Cardiff Central,Wales,Borough,Lab,Con,64037,41822,17179,8426,25605,6298,1006,0,0,0,0,0,0,0,0,487,0
W07000051,Cardiff North,Wales,Borough,Lab,Con,68438,52666,6982,19082,26064,3580,1311,820,0,1606,0,0,0,0,0,203,0
W07000080,Cardiff South and Penarth,Wales,Borough,Lab,Con,78837,50579,12737,14645,27382,2985,1999,1182,0,2386,0,0,0,0,0,0,0
W07000079,Cardiff West,Wales,Borough,Lab,Con,68508,46177,10986,12922,23908,2731,1619,1133,0,3864,0,0,0,0,0,0,0
E14000620,Carlisle,North West,County,Con,Lab,65105,42873,8319,23659,15340,2829,0,0,0,0,0,0,0,0,0,1045,0
W07000067,Carmarthen East and Dinefwr,Wales,County,PC,Con,57419,41002,1809,14130,8622,0,2311,0,0,15939,0,0,0,0,0,0,0
W07000066,Carmarthen West and South Pembrokeshire,Wales,County,Con,Lab,59158,42114,7745,22183,14438,1860,0,0,0,3633,0,0,0,0,0,0,0
E14000621,Carshalton and Wallington,London,Borough,Con,LD,72941,49098,629,20822,6081,20193,1043,759,0,0,0,0,0,0,0,200,0
E14000622,Castle Point,East,Borough,Con,Lab,69608,44277,26634,33971,7337,2969,0,0,0,0,0,0,0,0,0,0,0
S14000010,Central Ayrshire,Scotland,County,SNP,Con,69742,46534,5304,16182,6583,2283,0,0,21486,0,0,0,0,0,0,0,0
E14000623,Central Devon,South West,County,Con,Lab,74926,58072,17721,32095,14374,8770,0,2833,0,0,0,0,0,0,0,0,0
E14000624,Central Suffolk and North Ipswich,East,County,Con,Lab,80037,56250,23391,35253,11862,6485,0,2650,0,0,0,0,0,0,0,0,0
W07000064,Ceredigion,Wales,County,PC,Con,56250,40105,6329,8879,6317,6975,2063,663,0,15208,0,0,0,0,0,0,0
E14000625,Charnwood,East Midlands,County,Con,Lab,79534,55365,22397,35121,12724,4856,0,2664,0,0,0,0,0,0,0,0,0
E14000626,Chatham and Aylesford,South East,County,Con,Lab,71642,43340,18540,28856,10316,2866,0,1090,0,0,0,0,0,0,0,212,0
E14000627,Cheadle,North West,Borough,Con,LD,74577,55903,2336,25694,6851,23358,0,0,0,0,0,0,0,0,0,0,0
E14000628,Chelmsford,East,Borough,Con,LD,80394,57122,17621,31934,10295,14313,0,0,0,0,0,0,0,0,0,580,0
E14000629,Chelsea and Fulham,London,Borough,Con,LD,67110,46821,11241,23345,10872,12104,0,0,0,0,0,0,0,0,0,500,0
E14000630,Cheltenham,South West,Borough,Con,LD,81044,59357,981,28486,2921,27505,0,0,0,0,0,0,0,0,0,445,0
E14000631,Chesham and Amersham,South East,County,Con,LD,72542,55685,16223,30850,7166,14627,0,3042,0,0,0,0,0,0,0,0,0
E14000632,Chesterfield,East Midlands,Borough,Lab,Con,71034,45186,1451,16720,18171,3985,4771,1148,0,0,0,0,0,0,0,391,0
E14000633,Chichester,South East,County,Con,LD,85499,61243,21490,35402,9069,13912,0,2527,0,0,0,0,0,0,0,333,0
E14000634,Chingford and Woodford Green,London,County,Con,Lab,65393,48444,1262,23481,22219,2744,0,0,0,0,0,0,0,0,0,0,0
E14000635,Chippenham,South West,County,Con,LD,77221,57099,11288,30994,6399,19706,0,0,0,0,0,0,0,0,0,0,0
E14000636,Chipping Barnet,London,Borough,Con,Lab,79960,57569,1212,25745,24533,5932,0,1288,0,0,0,0,0,0,0,71,0
E14000637,Chorley,North West,County,Spk,Ind,78177,39870,17392,0,0,0,0,3600,0,0,0,0,0,0,0,36270,26831
E14000638,Christchurch,South West,County,Con,LD,71520,51951,24617,33894,6568,9277,0,2212,0,0,0,0,0,0,0,0,0
E14000639,Cities Of London and Westminster,London,Borough,Con,LD,63700,42723,3953,17049,11624,13096,0,728,0,0,0,0,0,0,0,226,0
E14000640,City Of Chester,North West,County,Lab,Con,76057,54560,6164,20918,27082,3734,1388,1438,0,0,0,0,0,0,0,0,0
E14000641,City Of Durham,North East,County,Lab,Con,71271,48859,5025,15506,20531,7935,3252,1635,0,0,0,0,0,0,0,0,0
E14000642,Clacton,East,County,Con,Lab,70930,43506,24702,31438,6736,2541,0,1225,0,0,0,0,0,0,0,1566,0
E14000643,Cleethorpes,Yorkshire and The Humber,County,Con,Lab,73689,46339,21418,31969,10551,2535,0,1284,0,0,0,0,0,0,0,0,0
W07000062,Clwyd South,Wales,County,Con,Lab,53919,36306,1239,16222,14983,1496,1468,0,0,2137,0,0,0,0,0,0,0
W07000059,Clwyd West,Wales,County,Con,Lab,57714,40203,6747,20403,13656,2237,0,0,0,3907,0,0,0,0,0,0,0
S14000011,"Coatbridge, Chryston and Bellshill",Scotland,Borough,SNP,Lab,72943,48221,5624,6113,17056,1564,0,808,22680,0,0,0,0,0,0,0,0
E14000644,Colchester,East,Borough,Con,Lab,82625,53373,9423,26917,17494,7432,0,1530,0,0,0,0,0,0,0,0,0
E14000645,Colne Valley,Yorkshire and The Humber,County,Con,Lab,84174,60892,5103,29482,24379,3815,1268,1068,0,0,0,0,0,0,0,880,0
E14000646,Congleton,North West,County,Con,Lab,80930,57233,18561,33747,15186,6026,0,1616,0,0,0,0,0,0,0,658,0
E14000647,Copeland,North West,County,Con,Lab,61693,42523,5842,22856,17014,1888,0,765,0,0,0,0,0,0,0,0,0
E14000648,Corby,East Midlands,County,Con,Lab,86153,60475,10268,33410,23142,3923,0,0,0,0,0,0,0,0,0,0,0
E14000649,Coventry North East,West Midlands,Borough,Lab,Con,76006,44444,7692,15720,23412,2061,2110,1141,0,0,0,0,0,0,0,0,0
E14000650,Coventry North West,West Midlands,Borough,Lab,Con,75247,47744,208,20710,20918,2717,1956,1443,0,0,0,0,0,0,0,0,0
E14000651,Coventry South,West Midlands,Borough,Lab,Con,70979,45044,401,19143,19544,3398,1432,1092,0,0,0,0,0,0,0,435,0
E14000652,Crawley,South East,Borough,Con,Lab,74207,49899,8360,27040,18680,2728,0,1451,0,0,0,0,0,0,0,0,0
E14000653,Crewe and Nantwich,North West,County,Con,Lab,80321,54032,8508,28704,20196,2618,1390,975,0,0,0,0,0,0,0,149,0
E14000654,Croydon Central,London,Borough,Lab,Con,81407,54045,5949,21175,27124,3532,999,1215,0,0,0,0,0,0,0,0,0
E14000655,Croydon North,London,Borough,Lab,Con,88468,55609,24673,11822,36495,4476,839,1629,0,0,0,0,0,0,0,348,0
E14000656,Croydon South,London,Borough,Con,Lab,83982,59358,12339,30985,18646,7503,0,1782,0,0,0,0,0,0,0,442,0
S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East",Scotland,County,SNP,Lab,66079,45686,12976,7380,11182,2966,0,0,24158,0,0,0,0,0,0,0,0
W07000070,Cynon Valley,Wales,County,Lab,Con,51134,30236,8822,6711,15533,949,3045,0,0,2562,0,0,0,0,0,1436,0
E14000657,Dagenham and Rainham,London,Borough,Lab,Con,71045,43735,293,19175,19468,1182,2887,602,0,0,0,0,0,0,0,421,0
E14000658,Darlington,North East,Borough,Con,Lab,66397,43498,3294,20901,17607,2097,1544,1057,0,0,0,0,0,0,0,292,0
E14000659,Dartford,South East,County,Con,Lab,82209,54023,19160,34006,14846,3736,0,1435,0,0,0,0,0,0,0,0,0
E14000660,Daventry,East Midlands,County,Con,Lab,77423,57403,26080,37055,10975,7032,0,2341,0,0,0,0,0,0,0,0,0
W07000042,Delyn,Wales,County,Con,Lab,54560,38370,865,16756,15891,2346,1971,0,0,1406,0,0,0,0,0,0,0
E14000661,Denton and Reddish,North West,Borough,Lab,Con,66234,38588,6175,13142,19317,1642,3039,1124,0,0,0,0,0,0,0,324,0
E14000662,Derby North,East Midlands,Borough,Con,Lab,73199,47017,2540,21259,18719,3450,1908,1046,0,0,0,0,0,0,0,635,0
E14000664,Derbyshire Dales,East Midlands,County,Con,Lab,65080,50016,17381,29356,11975,6627,0,2058,0,0,0,0,0,0,0,0,0
E14000663,Derby South,East Midlands,Borough,Lab,Con,73062,42462,6019,15671,21690,2621,2480,0,0,0,0,0,0,0,0,0,0
E14000665,Devizes,South West,County,Con,LD,73372,50954,23993,32150,7838,8157,0,2809,0,0,0,0,0,0,0,0,0
E14000666,Dewsbury,Yorkshire and The Humber,County,Con,Lab,81253,56389,1561,26179,24618,2406,1874,1060,0,0,0,0,0,0,0,252,0
E14000668,Doncaster Central,Yorkshire and The Humber,Borough,Lab,Con,71389,41581,2278,14360,16638,1748,6842,981,0,0,0,0,0,0,0,1012,0
E14000669,Doncaster North,Yorkshire and The Humber,County,Lab,Con,72362,40698,2370,13370,15740,1476,8294,0,0,0,0,0,0,0,0,1818,0
E14000667,Don Valley,Yorkshire and The Humber,County,Con,Lab,75356,45437,3630,19609,15979,1907,6247,872,0,0,0,0,0,0,0,823,0
E14000670,Dover,South East,County,Con,Lab,76355,50701,12278,28830,16552,2895,0,1371,0,0,0,0,0,0,0,1053,0
E14000671,Dudley North,West Midlands,Borough,Con,Lab,61936,36684,11533,23134,11601,1210,0,739,0,0,0,0,0,0,0,0,0
E14000672,Dudley South,West Midlands,Borough,Con,Lab,60731,36576,15565,24835,9270,1608,0,863,0,0,0,0,0,0,0,0,0
E14000673,Dulwich and West Norwood,London,Borough,Lab,Green,80331,55778,27310,9160,36521,0,571,9211,0,0,0,0,0,0,0,315,0
S14000013,Dumfries and Galloway,Scotland,County,Con,SNP,74580,51429,1805,22678,4745,3133,0,0,20873,0,0,0,0,0,0,0,0
S14000014,"Dumfriesshire, Clydesdale and Tweeddale",Scotland,County,Con,SNP,68330,49153,3781,22611,4172,3540,0,0,18830,0,0,0,0,0,0,0,0
S14000015,Dundee East,Scotland,Borough,SNP,Con,66210,45277,13375,10986,6045,3573,0,0,24361,0,0,0,0,0,0,312,0
S14000016,Dundee West,Scotland,Borough,SNP,Lab,64431,41579,12259,5149,10096,2468,1271,0,22355,0,0,0,0,0,0,240,0
S14000017,Dunfermline and West Fife,Scotland,County,SNP,Lab,76652,53482,10699,11207,13028,4262,0,1258,23727,0,0,0,0,0,0,0,0
W07000061,Dwyfor Meirionnydd,Wales,County,PC,Con,44362,29928,4740,9707,3998,0,1776,0,0,14447,0,0,0,0,0,0,0
E14000674,Ealing Central and Acton,London,Borough,Lab,Con,75510,54807,13300,14832,28132,9444,664,1735,0,0,0,0,0,0,0,0,0
E14000675,Ealing North,London,Borough,Lab,Con,74473,49631,12269,15767,28036,4370,0,1458,0,0,0,0,0,0,0,0,0
E14000676,"Ealing, Southall",London,Borough,Lab,Con,64581,42217,16084,9594,25678,3933,867,1688,0,0,0,0,0,0,0,457,0
E14000677,Easington,North East,County,Lab,Con,61182,34583,6581,9142,15723,1526,6744,0,0,0,0,0,0,0,0,1448,0
N06000005,East Antrim,Northern Ireland,County,DUP,Alliance,64830,37261,6706,1043,0,0,0,685,0,0,16871,2120,902,5475,10165,0,0
E14000684,Eastbourne,South East,Borough,Con,LD,79307,55134,4331,26951,3848,22620,1530,0,0,0,0,0,0,0,0,185,0
E14000678,East Devon,South West,County,Con,Ind,87168,64073,6708,32577,2870,1771,0,711,0,0,0,0,0,0,0,26144,0
S14000018,East Dunbartonshire,Scotland,County,SNP,LD,66075,53031,149,7455,4839,19523,0,916,19672,0,0,0,0,0,0,626,0
E14000679,East Ham,London,Borough,Lab,Con,88319,54628,33176,8527,41703,2158,1107,883,0,0,0,0,0,0,0,250,0
E14000680,East Hampshire,South East,County,Con,LD,76478,56895,19696,33446,6287,13750,0,2600,0,0,0,0,0,0,0,812,0
S14000019,"East Kilbride, Strathaven and Lesmahagow",Scotland,County,SNP,Lab,81224,56337,13322,11961,12791,3760,0,1153,26113,0,0,0,0,0,0,559,0
E14000685,Eastleigh,South East,Borough,Con,LD,83880,58971,15607,32690,7559,17083,0,1639,0,0,0,0,0,0,0,0,0
N06000006,East Londonderry,Northern Ireland,County,DUP,SDLP,69246,39302,9607,0,0,0,0,0,0,0,15765,6128,6158,3599,5921,1731,0
S14000020,East Lothian,Scotland,County,SNP,Lab,81600,58513,3886,15523,17270,4071,0,0,21156,0,0,0,0,0,0,493,0
S14000021,East Renfrewshire,Scotland,County,SNP,Con,72232,55357,5426,19451,6855,4174,0,0,24877,0,0,0,0,0,0,0,0
E14000681,East Surrey,South East,County,Con,LD,83148,59690,24040,35624,8247,11584,0,2340,0,0,0,0,0,0,0,1895,0
